ko,en,ko_len,en_len
"그러나 이것은 또한 책상도 필요로 하지 않는다.
","Like all optical mice, But it also doesn't need a desk.
",27,56
"100여명의 사망자가 예상되는 베트남 빌딩 화재
","At least 54 people have been confirmed dead but that figure is expected to rise, possibly to over 100
",27,102
"어휘 :
","The Geneva-based commission, in its annual study of the industry titled “World Robotics 2001,” said a record 100,000 robots were installed last year, up 25 percent on 1999.
",5,173
"또 다른 60대의 로보트가 경비 일을 하고 있다.
","Another 60 robots work in surveillance.
",28,40
"다른 4명은 아직도 실종된 상태이다.
","Four others are still missing.
",21,31
"잇따른 토네이도에 의해 36명의 사망자 발생
","Emergency workers and stunned residents across the South and Great Lakes regions picked through shattered homes and buildings after a string of tornadoes left at least 36 people dead and dozens injured.
",25,203
"핵무기 개발 완료를 공식 발표한 북한
","The studio later retracted the statement, saying reports of bootleg copies hadn't been substantiated, but an AP search discovered what appeared to be the movie available on a site hosted in Europe.
",21,198
"북한이 핵무기를 개발했다고 처음으로 밝혔다.
","it has developed a nuclear weapon.
",25,35
"최인원은 배드민턴 게임을 완벽하게 하고 싶어한다.
","Choi In Won wants to perfect his badminton game.
",28,49
"김소현은 그저 잠을 많이 자려 한다.
","Kim So Hyon would just sleep a lot.
",21,36
"선례가 하나 있다.
","There is a precedent.
",11,22
"왜 이렇게 어려운 일을 서둘러 성취하려 하는가?
","Why the hurry to accomplish such a Herculean feat?
",27,51
"많은 어려운 문제 중에는 휴일 문제가 있다.
","Among the many thorny issues is holidays.
",25,42
"그것은 큰 문제입니다.""
","""It's a big problem.""
",14,22
"2월이면 폐기될 미르 우주정거장
","The 14-year-old Mir space station will be ditched in February in a controlled descent that will send it hurtling into a remote area of the Pacific Ocean, officials said today.
",18,176
"베트남의 호치민시를 방문한 클린턴
","President Bill Clinton arrived in Ho Chi Minh City, Vietnam, following a visit to the crash site of a U.S.
",19,107
"여러 상점에도 불이 붙었다.
","Several stores also caught fire.
",16,33
"가격은 약 3,000불이 될 것으로 예상되고 있다.
","The price is expected to be around $3,000.
",29,43
"화요일에 9명의 여성이 더 공격을 받았다.
","Nine more women were attacked Tuesday.
",24,39
"그러나 북한 관리들은 그 요구를 거부했다.
","North Korean officials, however, refused that demand.
",24,54
"카페인은 원래 커피에 들어있는 물질이다.
","Caffeine is a substance naturally found in coffee.
",23,51
"이 질병은 남성보다는 여성에게 더 잘 걸린다.
","The disease affects women more than men.
",26,41
"후임자는 발표되지 않았다.
","No successors have been announced.
",15,35
"하루가 지난 후 소름끼치는 일이 발생했다.
","A day later came the shocker.
",24,30
"그러면 누가 북한을 지원했는가?
","So who assisted the Koreans?
",18,29
"미국과 영국의 과학자들이 악수를 했다.
","Scientists in Britain and the United States shook hands.
",22,57
"한 명은 런던에 있고, 다른 한 명은 보스톤에 있는
","one in London and one in Boston
",29,32
"라고 조던이 말했다.
","at least five years,"" Jordan said.
",12,35
"신용 카드 빚을 현금으로 갚아야 합니까?
","Need to pay down credit card debt?
",23,35
"음악 교습비가 꼭 있어야합니까?
","Desperate for money for music lessons?
",18,39
"일본에서 124명의 사망자를 낸 폐암 치료제
","Microsoft had ""leveraged its PC monopoly in which it is unfairly advantaged.""
",25,78
"""그 지역의 2/3가 비어 있습니다.
","""Two-thirds of the lots are vacant.
",21,36
"""그들의 정책 처방은 간단합니다.
","""Their policy prescription is simple.
",19,38
"성공할 수 있는 일들이 있습니다.""
","There are things that are working.""
",20,36
"하지만 전체적으로는 증거가 다르게 나타나고 있다.
","But the evidence as a whole indicates otherwise.
",28,49
"규모가 작은 여러 회사들은 그렇지가 않다.
","/ Several smaller ones are not.
",24,32
"우리가 달에 착륙했는가?""
","Did We Land on the Moon?""
",15,26
"(그 기계에는 무엇인가 잘못된 것이 있다.)
","There is something wrong with the machine.
",25,43
"(우리는 더 좋은 것을 생각할 수 없다.)
","We can't think of anything better.
",24,35
"인공 지능은 이제 막 시작되었다:
","Artificial intelligence is just getting started :
",19,50
"이웃들이 달려 들었고, 그들이 한동안 우리를 도왔죠.
","The neighbors pitched in and they helped us for awhile.
",30,56
"나는 심지어 내 국민학교 급우와 함께 살았습니다.
","I lived with even an elementary classmate of mine.
",28,51
"교회도 또한 도와 주었습니다.
","The church helped out as well.
",17,31
"그는 자신이 누구인지 알고 있다고 생각했었습니다.
","He thought he knew who he was.
",28,31
"난 롱 죤 액티브라구.
","I'm Long John Active.
",13,22
"처음 2분 동안은 3달러 95센트입니다.
","$3.95 for the first two minutes.
",23,33
"(어디로 갈 것인지를 너에게 알려주겠다.)
","I'll let you know where to go.
",24,31
"중세기까지는 이런 지식의 총량이 상당히 증가했었다.
","The sum of this knowledge had increased / considerably / by the Middle Ages.
",29,77
"인력은 기계에 의해 보강되어야만 했다.
","Manpower had to be reinforced by machines.
",22,43
"그게 우리의 강점이죠.""
","That's our strength.""
",14,22
"그저 훈련이 아주 잘 되어있기만 하면 됩니다.""
","They just have to be very well trained.""
",27,41
"""시장은 그들에게 넓게 열려 있습니다.
","""The market,"" Huriev says, ""is open for them.""
",22,47
"여자들이 그 일을 할 수 있는가?
","Are women up to the job?
",19,25
"""이것은 대단한 발견입니다.""
","""This is a real discovery.""
",17,28
"학교에는 컴퓨터 한 대에 약 11명의 학생들이 있다.
","There are about 11 students / for every computer / in schools.
",30,63
"어떤 학생들은 10년이나 된 컴퓨터로 공부하고 있다.
","Some students are working on computers / 10 years old.
",30,55
"이것은 우리가 직시해야만 하는 문제이다.
","/ This is an issue / we have to face head on.
",23,46
"낡은 컴퓨터는 다음과 같은 문제점을 갖고 있다.
","The problem with older computers:
",27,34
"특히 텔레비젼 방송은 이방인들에게 충격을 주게 된다.
","The airwaves, especially, can shock strangers.
",30,47
"하지만 브라질에도 제한은 있다.
","But even in Brazil there are limits.
",18,37
"바로스 뿐만이 아니다.
","He's not the only one.
",13,23
"로마 캐톨릭 교회도 독실한 신자들을 규합하고 있다.
","The Roman Catholic Church is rallying the faithful.
",29,52
"낙태는 불법이다.
","Abortion is illegal.
",10,21
"오락 산업계는 그런 불명료성을 거부한다.
","The entertainment industry rejects such subtleties.
",23,52
"시청자, 특히 연속 멜로 드라마의 시청자는 방대하다.
","The audience is huge, especially for soap operas:
",30,50
"하지만 게임은 더욱 더 힘들어질 지도 모른다.
","But that game may get more difficult.
",26,38
"하지만 그는 24시간 경제의 모범적인 수행인이었다.
","But he was the standard-bearer for the 24-hour economy.
",29,56
"""난 크리스마스에 덴버 공항에 있었습니다.
","""I was in the Denver airport on Christmas Day and wondered if my insurance would cover a rental car.
",24,101
"난 그렇게 해 줄 다른 사람을 찾을 것이다.
","I'll find someone who will.
",25,28
"멈추지 않는 경제는 그나름대로의 나쁜 점도 있다.
","The economy that never stops has its downside.
",28,47
"정오가 되면 그녀는 하루 일과를 마친다.
","By noon, she calls it a day.
",23,29
"저녁식사 부분은 순조롭지 못하다:
","The dinner part can be tough:
",19,30
"은행들도 오래전부터 은행 근무시간을 포기해 왔다.
","Banks have long since given up bankers' hours.
",28,47
"그리고, 때로는 2교대만으로 충족될 수도 있다.
","And sometimes two shifts are enough to meet demand.
",27,52
"어떻게 잠을 자지않고 지새우느냐 하는 것이다.
","how not to sleep through it.
",26,29
"그는 야간 근무자들은 선잠을 자주 자라고 권고한다.
","He recommends that night workers take frequent catnaps.
",29,56
"우리는 24시간 경제를 제지할 수는 없다.
","We can't hold back the 24-hour economy.
",24,40
"하지만 신조차도 일요일에는 휴식을 취했다.
","But even God rested on Sunday.
",24,31
"""이 큰 마스크 안에 있는 사람이 엄마란다.
","""It's Mommy underneath this big mask.
",25,38
"그녀의 아이들은 엄마의 얼굴을 아직 보지 못했다.
","Her babies have yet to see their mother's face.
",28,48
"그녀는 단지 보균자일 뿐이다.
","she's only a carrier.
",17,22
"하지만 얼마나 오래 그 효과가 지속될 것인가?
","But how long will it hold up?
",26,30
"""하는 것이지, ""그런 상황을 보게 될 것인가?
","""The question now more asked is, ""Why haven't we seen it yet?""
",27,63
"""하는 질문이 아닙니다.
","It's not, ""Will we see it?
",14,27
"왜 이런 일이 일어나는가?
","Why is this happening?
",15,23
"간단히 말해서 항생제의 오용이다.
","In simple terms, misuse of antibiotics.
",19,40
"""우리는 우리가 본 것에 무척 놀랐습니다.""
","""We were flabbergasted by what we saw.""
",25,40
"밴코마이신을 포함하는 원반이 그 중앙에 있다.
","A disk of Vancomycin is in the middle.
",26,39
"""나는 이 문제가 개선되어질 거라고 보지 않습니다.
","""I can't see that this problem is going to get better.
",29,55
"이러한 유기체(병균)들과의 전쟁이 얼마나 심각한가?
","How serious is the war with these organisms?
",29,45
"또 하나 필요한 것은 훌륭한 영어 실력이다.
","One other thing that is needed:
",25,32
"두번째 목적은 상품을 파는 것이다.
","The second purpose is to sell the product.
",20,43
"더군다나 그들은 이러한 지식을 이용하고 있다.
","/ Furthermore, / they take advantage of this knowledge.
",26,56
"그것은 필요하지도 않고 영양분이 있지도 않다.
","/ It is neither necessary / nor nutritious.
",26,44
"이것은 감정적인 동기일 가능성이 가장 많다.
","Most likely / it is an emotional motive.
",25,41
"누가 이런 정보를 관리하는가?
","Who controls this information?
",17,31
"최초의 운동화는 100년 전에 발명되었다.
","The first running shoe was invented 100 years ago.
",24,51
"나이키가 값비싼 광고와 판촉활동으로 끼어들었다.
","Nike stepped in, with expensive advertising and promotion.
",27,59
"아디다스는 또 다른 이점도 갖고 있다.
","Adidas has another advantage:
",22,30
"분명 그렇게 생각될 수도 있다.
","It can certainly sound that way.
",18,33
"그녀는 90년대 후반에 처음으로 컴퓨터 통신을 했다.
","She first went online in the late '90s.
",30,40
"""나의 하루는 전부 이 일을 중심으로 계획이 됩니다.
","""My whole day is planned around this,"" she says.
",30,49
"""나는 항상 그만 두겠다는 약속을 합니다.
","""I always make promises I'm going to quit;
",24,43
"공부를 위해서만 이용하겠다고 말입니다.
","that I'll just use it for research.
",22,36
"컴퓨터 통신에 대한 중독을 풍자하기는 쉽다.
","Still, Yu stops short of calling herself an addict.
",25,52
"하지만 소수의 사람들은 포로가 된다.
","But a few people do fall prey.
",21,31
"어디엔가 그 균형점이 있다.
","Somewhere there is a balance.
",16,30
